"bambara","french"
"Maria, n kɔnɔ, ne ka nin den dulokinin lajɛ.","Maria, attends-moi que je regarde ce petit habit d’enfant."
"Sirajɛ, i kɔnɔ kalo joli ye nin ye ?","Siraje, tu es enceinte depuis combien de mois ?"
"Ne kɔnɔ kalo seegin ye nin ye.","Ça me fait huit mois ce mois-ci."
"A sera dɛ !","C’est donc arrivé !"
"Dɔɔnin !","Presque !"
"Ala k'o kɛ hɛrɛ ye !","Que Dieu le fasse devenir paix !"
"Amiina !","Amen !"
"Ala k'o kɛ !","Que Dieu le fasse !"
"Amiina !","Amen !"
"Jigi, i bɛ taa min ?","Jigi, où vas-tu ?"
"Paul, ne bɛ taa tigasen na.","Paul, je vais déterrer les arachides."
"An tɛ taa ɲɔgɔn fɛ ?","N’allons-nous pas ensemble ?"
"O bɛ diya n ye !","Cela me fait plaisir !"
"Tigaforo yɔrɔ ka jan wa ?","Le champ d’arachides, est-il éloigné ?"
"A ka jan dɔɔnin.","Il est un peu loin."
"Tigaforo yɔrɔ ka jan sɔforo ye wa ?","Le champ d’arachides, est-il plus éloigné que les champs aux abords du village ?"
"A ka jan n'o ye kosɛbɛ !","C’est beaucoup plus éloigné que ceux-là !"
"An bɛ taa an sen na wa ?","Partons-nous à pied ?"
"Ne kɔni bɛ taa nɛgɛso la !","Quant à moi, je vais à vélo !"
"An fila bɛ taa o la wa ?","Partons-nous tous les deux sur le vélo ?"
"O ka gɛlɛn dɛ !","C’est vraiment difficile !"
"O doni ka girin nɛgɛso ma.","La charge est trop lourde pour le vélo."
"O tuma, ne bɛ taa "" mobilɛti "" la.","Alors, je vais à mobylette."
"O ka fisa !","C’est mieux !"
"Ne bɛ bila i ɲɛ.","Je te devance."
"A ! mobilɛti ka teli nɛgɛso ye dɛ !","Ah! La mobylette est vraiment plus rapide que le vélo !"
"Tiɲɛ don, nka i fana tɛ sira dɔn !","C’est vrai, mais toi aussi, tu ne connais pas la route !"
"Siga t'a la.","Il n’y a pas de doute."
"I tɛ banfula don i kun na ?","Ne mets-tu pas un chapeau sur ta tête ?"
"Tile ka farin dɛ !","Le soleil est très ardent !"
"Banfula tɛ ne fɛ.","Je n’ai pas de chapeau."
"I tɛ ne ka banfula ta ?","Ne prends-tu pas mon chapeau ?"
"O ka bon ne kunkolo ma !","Il est trop grand pour ma tête !"
"O tuma, ne kunkolo ka kunba i kunkolo ye wa ?","Alors, ma tête est-elle plus grosse que ta tête ?"
"O bɛ kɛnɛ kan !","C’est de notoriété publique !"
"Paul, ne ka kɔrɔ i ye wa ?","Paul, est-ce que je suis plus âgé que toi ?"
"Ne ɲɛna, ne man kɔrɔ i ye !","À mon avis, je suis moins âgé que toi !"
"Ayiwa, dɔgɔ, an tɛ taa ?","Eh bien, petit frère, ne partons-nous pas ?"
"Kɔrɔ, an ka taa !","Grand frère, partons "
"Bamakɔ, ani jamana fan wɛrɛw fɛ, denmisɛn minnu bɛ sun a dɔw si tɛ tɛmɛ san tan ni kelen kan.","À Bamako, comme dans plusieurs autres localités du pays, certains des enfants qui jeûnent ont moins de onze ans."
"N'o y'a sɔrɔ denmisɛnnin dɔw yɛrɛ de bɛ a ŋaniya ka sun, a dɔw fana masa de b'u bilasira.","S'il est vrai que certains enfants jeûnent de leur propre volonté, d'autres sont guidés par leurs parents."
"« ne Yɛre de bɛ n yɛrɛ bila sun na, baraji de don. »","« Je suis entré en jeûne par moi-même, c'est une récompense. »"
"« n yɛrɛ de bɛ fɛ ka baraji ɲini.","« Moi-même j'ai envie d'obtenir la récompense. »"
"N bɛ fɛ ka n dege de yanni n si ka se a ye »","« J'apprends à jeûner avant que je ne sois en âge de le faire. »"
"« ne tɛ diyagoya de. a ka di ne yɛrɛ de ye ka sun.","« Je n'y suis pas obligé. A moi cela me plaît de jeûner."
"Ni tile bɔra don min na de, a bɛ ne sɛgɛn »","Mais le jour où il fait soleil, ça me fatigue. »"
"« ne bɛ bɔ Segu yan. mɔgɔ ma ne wajibiya ka ne bila sun na.","« Je suis à Ségou, personne n'a fait pression sur moi pour que j'entre en carême."
"Sun yɛrɛ de ka di ne ye. ne bɛ sun, n bɛ baraji sɔrɔ. ayi, kɔngɔ bɛ n minɛ dɛ mɛ n b'a muɲu de ! »","J'aime bien le jeûne. Je jeûne et j'obtiens la récompense. Non, c'est vrai j'ai faim, mais je le supporte! »"
"« ne fa ni n ba de ko ko ne ka sun walasa ne ka baraji sɔrɔ. u ma ne diyagoya.","« Mes parents m'ont demandé de jeûner afin que j'obtienne la récompense. Ils ne m'ont pas forcé."
"Awɔ, sun ka di ne yɛrɛ de ye. »","«Oui, j''aime ça moi-même. »"
"« ne kɔni, ne bɛ Kayi yan. ne bɛ sun, ka taa n da misiri kɔnɔ. »","« Moi, je suis à Kayes, quand je jeûne je pars me coucher à la mosquée. »"
"« ne bɛ sun, Alakira de kama, o ni n fa ni n ba.","« Je jeûne à cause du prophète d'Allah,  ça et aussi mon père et ma mère."
"N tɛ sɔn ka neninijugu kɛ. »","Je n'ose pas de les insulter grave. »"
"Ga dɔw kɔnɔna na, bangebagaw yɛrɛ de bɛ sun wajibiya denmisɛnninw kan.","Dans certaines familles, ce sont les parents eux-même qui obligent les enfants à jeûner."
"« ne bɛ sun don paseke ne fakɛ ni ne bamuso b'a kɛ. a bɛ digi ne la mɛ ne b'a kɛ cogo di. »","« Mais je jeûne parce que mon père et ma mère jeûnent. C'est dur mais c'est ce que je fais. »"
"« ne ye san tan ni saba de ye.","« J'ai treize ans."
"O de sun man nɔgɔn.","Le carême là c'est chaud hein."
"Sabula i tɛ se ka ji min wa i tɛ dumuni kɛ fana.","On en mange pas, on ne boit pas."
"Don min na ne sunna hali n ma se ka ntola tan. »","Le jour où je jeûne je n'arrive même pas à jouer au ballon. »"
"Denmansa fɛla tɛ kelen ye denmisɛnninw ka sunko la.","Du côté des parents, les avis divergent sur la question du jeûne des enfants."
"A dɔw b'a jira k'a fɔ k'i ka kan ka denmisɛnninw wajibiya ka silamɛya jɔsen dafa.","Certains pensent qu'il faut les obliger à accomplir un devoir islamique."
"Dɔw fana b'a fɔ k'u ka kan ka bilasira de nka u man kan ka wajibiya.","D'autres estiment qu'il faut les guider et il ne faut pas les forcer."
"« n ka denmisɛnninw n t'u bila a la u ka sun mɛ olu yɛrɛ de b'a kɛ u yɛrɛ ye.","« C'est pas moi qui ordonne à mes enfants de jeûner, maisl ils le font par eux-mêmes."
"« mɛ n'a diyar'u yɛrɛ ye,","mais si ça leur plaît"
"O k'a don. u kan'a kɛ diyagoya ye k'a sɔrɔ fanga tɛ se. »","Qu'ils le fassent. Il ne faut pas en faire une obligation quand ils n'en ont pas la force. »"
"« ee, an minnu ye denmansaw ye, ne bolo denmisɛnnin ka kan ka wajibiya ka don diinɛ yɛrɛ kalanni na.","« En tant que parent, je pense que c'est obligatoire qu'on enseigne la religion aux enfants. »"
"N'a ma ɲɛ ko diinɛ dɔ b'i bolo, e min ye bangebaga ye, k'e bɛ k'o diinɛ paratike, ne hakili la, i man kan ka diinɛ fana bila kɔfɛ. »","29"
"« bon, an b'u dege, n'u sɛgɛnna dɔrɔn u k'a tigɛ, « c est tout ». o dɔrɔn de don. »","« Bon, on leur enseigne, s'ils sont fatigués, ils arrêtent, c'est tout. Rien de plus. »"
"Silamɛya diinɛ tɛ sun wajibiya denmisɛnnin kan n'a ma balikuya, Usman Amadu Kane ka fɔ la, n'ale ye alimami ye min sigiyɔrɔ bɛnna Ɲɔrɔ ma","La religion musulmane n'oblige pas les enfants à jeûner lorsqu'ils ne sont pas pubères, affirme Ousmane Amadou Kan, qui est imam et qui a sa résidence à Nioro."
"U bɛ yamaruya ka sun denmisɛnnin min bɛ san tan ni kelen, san tan ni fila, san tan ni saba, san kɔnɔntɔn, a bɛɛ lajɛlen, u bɛ yamaruya u ka sun pourque u ka se ka dege a la, k'a fɔ k'a ye baara ɲuman dɔw kɛ, a delila ka baara ɲuman kɛ.","« Ils sont autorisés à jeûner, tout enfant qui a onze ans, douze ans, treize ans, neuf ans, eux tous, ils sont autorisés à jeûner afin de pouvoir apprendre et faire quelque chose de bien, à prendre l'habitude d'une bonne pratique."
"Ni denmisɛnnin bɛ san tan na, unhun, n'a sɔrɔla a se b'a ye, n'a bɛ se ka sun san tan kɔnɔna na, a baraji bɛ sɛbɛn a ye i n'a fɔ a bɛ sɛbɛn baliku ye cogo min.","Si un enfant a dis ans, oui, s'il a la capacité de supporter, s'il arrive à faire le jeûne dans l'année de ses dix ans, sa récompense lui sera inscrite tout comme elle est inscrite pour un adulte."
"Docteur Bokara Mayiga, ale ye furakɛlikɛla ye min ka baara ɲɛsinnen don dumuniko ma.","Le Docteur Bokara Maïga est un praticien dont le travail consiste à traiter les problèmes d'alimentation."
"Ale b'a jira k'a fɔ ko dɔgɔtɔrɔya nasira fɛ, k'a kanunen tɛ denmisɛnnin min si ma san tan sɔrɔ, o ka sun.","Il souligne que, du point de vue médical, il n'est pas souhaitable qu'un enfant qui n'a aps atteint l'âge de dix ans fasse le jeûne."
"Denmisɛnnin ka sun, anw dɔgɔtɔrɔw fɛ, a dagalen tɛ ni, surtout, ni a ma san tan ka taa san tan ni fila sɔrɔ","« Le jeûne des enfants, pour nous les médecins, ce n'est pas accepté si, surtout, il n'a pas atteint l'âge de dix à douze ans."
"Munna ? paseke o wagati la, denmisɛnnin mago bɛ dumuni na walasa a ka se ka kɔrɔ ka ɲɛ kosɛbɛ","Pourquoi ? Parce que dans cette période, l'enfant a besoin de nourriture pour pouvoir se développer vraiment comme il faut."
"O kɔrɔbayali, ɔ, ni ka sɔrɔ a ye kalo kɛ a tɛ dumuni kɛ ka ɲɛ, a man ɲi a ma.","Ce développement, alors, quand on voit qu'il a passé un mois sans manger correctement, ça n'est pas bien pour lui. "
"A bɛ se ka na ni bana caman ye, a ma daga fɔlɔ a ka se ka sun.","Cela peut s'accompagner de nombreuses maladies, il n'est pas permis qu'il puisse faire le jeûne."
"Sariya tɛ Mali la min bɛ kuma kɛrɛnkɛrɛnya la sun kan, janko denmisɛnw ta, Ibn Ag Mohamɛd ka fɔ la, n'ale ye « parlement des enfants » ɲɛmɔgɔ ye.","Aucun texte du Mali ne se prononce spécifiquement sur le jeûne particulièrement des enfants, souligne Ibn Ag Mohammed, président du parlement des enfants."
"A ka fɔ la, jateminɛ de ka kan ka kɛ n'a y'a sɔrɔ denmisɛn in bɛ se ka sun.","Selon lui, il faut examiner si l'enfant peut arriver à faire le jeûne."
"Ayiwa, sɛbɛn jɔnjɔn t'an bolo min b'a jira k'a fɔ denmisɛnw man kan ka sun, walima u ka kan ka sun don.","« Bon, nous n'avons pas exactement un texte qui clarifie que les enfants ne doivent pas jeûner, ou que les enfants doivent jeûner."
"Nka an bɛ se ka min fɔ, denmisɛnninw ka sun, a bɛ bɔ u yɛrɛ de la.","Mais ce que nous pouvons dire, c'est que le jeûne des enfants dépend des enfants eux-mêmes."
"O b'a jira k'a fɔ u yɛrɛ ŋaniya an'u diinɛ, n'a y'a sɔrɔ u dalen k'a fɔ a fanga b'u la, u bɛ se k'a kɛ, u b'a kɛ","C'est à dire ça dépend de leur volonté et de leur caractère; s'ils pensent qu'ils en ont la force, alors ils peuvent le faire, ils le font. »"
"Diinɛ dɔnbagaw b'a ɲini denmansaw fɛ, u ka sun kalan kɛ denmisɛnnu kun yanni u k'a baara daminɛ.","Les religieux demandent aux parents d'enseigner les règles du jeûne aux enfants avant qu'ils ne se lancent dans la pratique."
"Sìrajɛ, kálo jɛ́ra, à ka dí !","3"
"Ɔ̀wɔ́, kálojɛ ka dí !","Oui, le clair de lune est agréable !"
"Nê ɲɛ́ tɛ́ mɔ̀gɔkɔrɔw lá !","5"
"Àyí, mɔ̀gɔkɔrɔw ma nà.","Non, les personnes âgées ne sont pas venues."
"Ò tùma, nìn jàma man ɲì wà ?","7"
"Nìn jàma ka ɲì kɛ̀, ǹka, bɛ́ɛ n'í ka jàma dòn.","Bien sûr, cette fête est bonne, mais, à chacun sa fête."
"Jɔ̂n bɛ bála fɔ́ ?","9"
"Bálafɔla bɛ bála fɔ́.","10"
"À tógo kó : Jàmajiri.","Son nom est: Jamajiri."
"Dùnun tɛ fɔ́ wà ?","12"
"Dùnun fána bɛ fɔ́.","On joue du tam-tam aussi."
"Mùsomanninw, á yé tɛ́gɛrɛ fɔ́ !","Les filles, battez des mains !"
"Dɔ̀nkili bɛ dá cɛ̀misɛnw fɛ̀ bì wà ?","15"
"Àyí, dɔ̀nkili tɛ dá cɛ̀misɛnw fɛ̀.","16"
"Mùsow dè bɛ dɔ̀nkili dá bì.","Ce sont les femmes qui chantent aujourd’hui."
"Jɔ̂n b'à lámìnɛ ?","18"
"Mùsow fána b'à lámìnɛ.","Les femmes aussi reprennent le refrain."
"Ò ka dí dɛ́ !","20"
"Maria, nà dɔ̀n kɛ́ !","Maria, viens danser !"
"Nê ma dèli ò lá !","22"
"Dɔ́n tɛ kɛ́ Zayiri wà ?","Ne danse-t-on pas au Zaïre ?"
"Ɔ̀wɔ́, ǹka Zayiri dɔ̀ncogo àní yàn dɔ̀ncogo tɛ́ kélen yé.","Oui, mais la manière de danser au Zaïre et la manière de danser d’ici, ce n’est pas pareil."
"Nà sá !","25"
"Maria, í bɛ sé !","Maria, tu t’y connais !"
"Nê tɛ sé kósɛbɛ !","27"
"Áyìwa, bála bìlara fɔ́lɔ !","28"
"Nà í sìgi !","Viens t’asseoir!"
"Mìnnɔgɔ dígira nê lá !","30"
"Í jɔ̀ !","31"
"Jí bɛ sɔ̀rɔ !","On va trouver de l’eau !"
"Jí ma sɔ̀rɔ fílen ná wà ?","33"
"Àyí, jí bánna, ǹka à bɛ nà.","Non, l’eau est finie, mais elle vient."
"Nê ma kɔ́rɔtɔ !","35"
"Jí fílɛ !","36"
"Npògotigiw, á yé jí kɛ́ tása lá.","Les filles ! Mettez de l’eau dans la cuvette."
"Fóyì tɛ bálo jí kɔ́ !","38"
"Ò yé tìɲɛ yé !","39"
"Hɔ́n bɔ̀nbɔn ná !","Prends des bonbons !"
"Ò díra ê mà wà ?","41"
"Àyí, ò ma dí nê mà.","42"
"Nê y'ò sàn tàbalitigi fɛ̀.","Je les ai achetés chez le « vendeur-sur-table »."
"Í ni cé bònya ná !","44"
"À tɛ sé fòli lá.","Cela ne vaut pas le merci."
"Áyìwa, sùnɔgɔ bɛ́ ń ɲɛ́ ná !","46"
"Kélèn !","Déjà!"
"Ɔ̀wɔ́, kàlan bɛ kɛ́ síni !","48"
"Tìɲɛ dòn !","49"
"Áyìwa, ń bɛ táa í bìla só !","je vais t’accompagner à la maison !"
"Í ni cé ò lá !","51"
"Ǹsé, í fána ni cé !","Merci à toi aussi"
"Jigi, to mɔna !","Jigi, le «to» est prêt !"
"N bɛ na !","Je viens !"
"Maria, i ni baro !","Maria, toi et la conversation !"
"Nse !","Merci !"
"I ni baara !","Toi et le travail !"
"Paul ka kɛnɛ ?","Paul est-il bien portant ?"
"Tɔɔrɔ tɛ Paul la.","Pas de mal chez Paul."
"A b'i fo !","Il te salue !"
"Maria, dumuni filɛ !","Maria, voici le repas !"
"I tɛgɛ ko !","Lave-toi les mains !"
"I bɛ to fɛ wa ?","Aimes-tu le «to»?"
"N b'a fɛ !","Je l’aime !"
"O ka di i da ?","Le trouves-tu à ton goût ?"
"Dɔɔnin !","Un peu!"
"To bɛ aw fɛ Zayiri wa ?","Y a-t-il du «to» chez vous au Zaïre ?"
"Ayi, to tɛ an fɛ Zayiri.","Non, il n’y a pas de «to» chez nous au Zaïre."
"Maria, sogo tɛ an fɛ bi !","Maria. Il n’y a pas de viande chez nous aujourd’hui !"
"O tɛ ko jugu ye !","Ce n’est pas grave !"
"Denmisɛnw, a' ye na dumuni na !","Les enfants, venez manger !"
"An fara !","Nous sommes rassasiés !"
"A' ye na !","Venez !"
"An fara !","Nous sommes rassasiés !"
"Ne fana fara.","Je suis rassasiée, moi aussi."
"I tɛ dumuni kɛ ?","Tu ne manges pas ?"
"Ne fara tewu !","Je suis tout à fait rassasiée !"
"I bɛ shɔ de fɛ !","C’est les haricots que tu aimes !"
"Nkalon, ne tɛ shɔ fɛ dɛ !","C’est faux, je n’aime pas du tout les haricots !"
"Cɛkɔrɔba, abarika !","30"
"Abarika Ala ye !","Merci à Dieu!"
"Jigi, i ni daba !","Jigi, toi et la houe !"
"I ta don !","Cela t’appartient !"
"Sirajɛ, i ni ga !","Siraje, toi et la cuisine !"
"K'a suma i kɔnɔ !","Que cela se refroidisse en ton ventre !"
"Maria, tɛgɛkoji filɛ !","Maria, voici l’eau pour se laver les mains !"
"Minniji tɛ ?","N'est-ce pas de l’eau à boire ?"
"Batɔgɔma, i ka ɲi, ne b'i fɛ !","Batogoma, tu es bien gentille, je t’aime !"
"Baba, dumuni di wulu ma !","Baba, donne à manger au chien !"
"Maria, woro bɛ ne fɛ !","Maria, j'ai de la kola!"
"Jigi, ne tɛ woro fɛ, a ka kuna.","Jigi, je n’aime pas la kola. C’est amer."
"Ayiwa, sisan sa, ne bɛ taa so.","Eh bien, maintenant, je vais donc à la maison."
"O bɛ kɛ !","Cela peut se faire !"
"Ala ka dahirimɛ nɔgɔya !","Que Dieu « facilite » la nourriture de chaque jour !"
"Amiina !","Amen!"
"Paul, áw tɛ dùgutigi dɔ́n fɔ́lɔ wà ?","Paul, vous ne connaissez pas encore le chef de village ?"
"Àyí, án tɛ à dɔ́n fɔ́lɔ.","Non, nous ne le connaissons pas encore."
"Áw bɛ nà à dɔ́n sísàn-sísàn.","Vous allez le connaître tout de suite."
"Ò ka dí án yé.","Cela nous fait plaisir."
"Jígi, jɔ̂n bɛ kúma tà ?","Jigi, qui prend la parole ?"
"Kúma bɛ tà nê fɛ̀ !","La parole est prise par moi!"
"Án séra dùgutigi bára.","Nous sommes arrivés chez le chef de village."
"Bàfin, í ni wúla !","Baafin, bonjour !"
"Nbá, í ni wúla !","Merci, bonjour !"
"Jɔ̂n dòn ?","Qui est-ce ?"
"Nê ni dúnanw dòn.","C’est moi avec les étrangers."
"Paul, á yé áw sìgi kúrun kàn !","Paul, asseyez-vous sur le tabouret !"
"Dùgutigi, npɛ́tɛ fílɛ !","Chef du village, voici la tabatière !"
"Jígi, ù bɛ bɔ́ mín ?","Jigi, d’où viennent-ils ?"
"Paul fílɛ, à bɛ bɔ́ “ Itali ”.","Voici Paul, il vient d’Italie."
"Maria fílɛ, à bɛ bɔ́ « Zayiri ».","Voici Maria, elle vient du Zaïre."
"Italikaw ka kɛ́nɛ ?","Les gens d’Italie se portent-ils bien ?"
"Tɔ́ɔrɔ tɛ́ !","Pas de mal!"
"Zayirikaw ka kɛ́nɛ ?","Les gens du Zaïre se portent-ils bien ?"
"Tɔ́ɔrɔ tɛ́ !","Pas de mal! "
"Ù b'í fò !","Ils te saluent !"
"Dùgutigi, kó : ù nàna bámanankan dège !","Chef, ils sont venus apprendre le bambara !"
"Ɔ̀hɔ !","Ah! "
"Bámanankankalannaw dòn ?","Ce sont des étudiants en bambara ?"
"Tígitigi !","Exactement ! "
"Ù nàna í fò !","Ils sont venus te saluer !"
"Í bònya fílɛ !","Voici un cadeau pour toi!"
"Ù ni cé bònya ná !","Merci pour le cadeau !"
"Ù séra ù ka só !","Ils sont chez eux!"
"Ù k'ù bìsimila !","Qu’ils soient les bienvenus !"
"Paul, ê ni Maria, áw túlo b'à lá ?","Paul et Maria, comprenez-vous cela ?"
"Àyí, án túlo tɛ́ à lá.","Non, nous ne le comprenons pas."
"Ò kúma kɔ́rɔ bɛ́ dì ?","Que signifie cette parole ?"
"Ò kúma kɔ́rɔ yé, kó : Falajɛ yé áw ka só yé.","Cela signifie que Falaje est votre maison."
"Ò ka dí án túlo lá !","Cela nous fait plaisir de l’entendre !"
"Dùgutigi, án bɛ táa só !","Chef, nous partons à la maison !"
"Ò bɛ kɛ́.","Cela peut se faire ! "
"Fòli díyara nê yé !","Les salutations m’ont fait plaisir !"
"Tàbáarikala !","Dieu soit loué !"
"K'án b'ù fò !","Nous les saluons !"
"Ù n'à mɛ́n !","Ils l’entendront"
"Ayiwa, Fankelen, i ye kɔrɔ ye, kuma dira i ma.","Bien, «Fankelen », tu es le plus âgé, la parole t’est donnée."
"Baasi tɛ, Bafin, nin diyara n ye !","D’accord, «Bafin », ceci me fait plaisir !"
"Kɛlɛ daminɛna nenini de la !","C’est par des insultes que la querelle a commencé !"
"Fako muso ye ne muso masaw neni !","La femme de Fako a insulté les parents de ma femme !"
"Fako, o ye tiɲɛ ye wa ?","Fako, cela est-il vrai ?"
"Tiɲɛ don !","C’est vrai ! "
"Nka fɔlɔ, Fankelen muso ye ne den gosi !","Mais d’abord la femme de Fankelen a frappé mon enfant !"
"Ɔhɔɔ !","Ah bon! "
"O don wa ?","C’est ça!"
"Ayiwa, Fako, joli tɛ kɛnɛya nɛ kan !","Alors, Fako, une plaie ne peut pas guérir tant qu’il y a du pus."
"Jama, aw ma Fako ka fɔlen mɛn wa ?","Foule, n’avez-vous pas entendu les dires de Fako ?"
"An y'a mɛn !","Nous les avons entendus !"
"O tuma, Fako, i muso jo t'a la, i fana jo t'a la !","Alors, Fako, ta femme n’a pas raison, toi aussi tu n’as pas raison !"
"Masaw nenini ka jugu ni busan ye !","L’insulte des parents est pire que le fouet !"
"I muso ma fɔta fɔ, a ma kɛta kɛ !","Ta femme n’a pas dit des choses à dire, elle n’a pas fait des choses à faire !"
"I fana filila dɛ !","Toi aussi, tu t’es bien trompé !"
"Hatɛ !","Assurément !"
"Fako, o kana digi e la, an tɛ tiɲɛ di i ma dɛ !","Fako, que cela ne te fâche pas, on ne te donne pas raison !"
"I y'a mɛn ?","As-tu entendu ?"
"Ayiwa, Bafin, ne y'aw ka kuma mɛn, kuma ɲana !","D'accord « Bafin », j'ai entendu vos paroles, vous avez bien parlé !"
"O ma digi ne la !","Cela ne m’a pas fâché !"
"Tabaarikala !","Dieu soit loué !"
"Ne be an sinankun fo, k'aw fana fo !","Je remercie notre « cousin-de-plaisanterie », je vous remercie aussi !"
"Sinankunya diyayɔrɔ ye nin ye !","C’est là que le « cousinage-de-plaisanterie » est agréable !"
"Hatɛ !","C’est bien vrai !"
"O tuma, aw ka yafa ne ma, ne jo t'a rɔ !","Alors, pardonnez-moi, je n’ai pas raison !"
"I ni se !","Toi et l’arrivée ! "
"I Tarawele !","Tarawele !"
"Ayiwa, jama, nin ye hɛrɛ kuma ye dɛ !","Eh l’assistance, ceci est parole de paix !"
"O don !","C’est cela!"
"Fankelen, i m'a mɛn wa ?","Fankelen, n’as-tu pas entendu ?"
"Bafin, i n'i jɛw, bi ta diyara n ye !","« Bafin », toi et tes conseillers, ce qui s’est passé aujourd’hui m’a fait plaisir !"
"Naamu !","Oui!"
"Jo dira n ma.","On m’a donné raison. "
"O tuma, ne tɛna n jo lasama.","Alors, je ne vais pas trop insister."
"Ne ta banna bi, a banna sini.","Pour moi, tout est fini pour aujourd’hui, tout est fini pour demain."
"Tabaarikala, i Tarawele !","Dieu soit loué, Tarawele !"
"Ayiwa, Jarakɛ, an sigikun ɲana dɛ !","Eh bien, Jarake, le but de notre rencontre a très bien réussi."
"Bafin, ni kɛlɛ banna, ko ne ko : k'o diyara n ye !","« Bafin », comme la querelle est finie, moi, je dis : cela m’a fait plaisir !"
"Kosɛbɛ, kosɛbɛ !","Beaucoup, beaucoup !"
"An tɛna tɔn bin Fako kan bilen !","Nous n’allons pas taxer Fako !"
"Nka, a k'a muso laadi dɛ !","Mais, qu’il conseille très bien sa femme !"
"Kojugu !","Beaucoup !"
"Baasi tɛ, Bafin, kɔrɔfɔlaw ye sijɛtigiw ye !","D'accord, « Bafin », ceux qui ont fait la palabre sont des vieux aux cheveux blancs !"
"Kosɛbɛ !","Exactement !"
"Bi duuru filɛ, aw na a san woro la !","Voilà 250F, vous vous achèterez de la kola !"
"Tabaarikala !","Dieu soit loué !"
"Bafin, aw ka mugan nin fara o kan !","« Bafin », ajoutez ces 100 F !"
"A ! nin ye an bɛɛ kunnatigɛko ye dɛ !","Ah! c’est une marque d’honneur pour nous tous !"
"Jama, worosɔngɔ filɛ !","Foule, voici le prix de la kola !"
"O diyara an bɛɛ ye !","Cela nous a plu à nous tous ! "
"An welekun ɲana !","Le but de notre appel a réussi !"
"Ala k'an kisi nin bɔɲɔgɔnko wɛrɛ ma !","Que Dieu nous préserve d’une autre semblable à celle-ci !"
"Amiina !","Amen ! "
"Jarakɛ, foli b'i ye !","Jarake, nous te remercions !"
"Ala ka jo duga e la !","Que Dieu fasse que le « fétiche » te bénisse !"
"Amiina !","Amen!"
"Ayiwa, Paul, kɔrɔfɔ banna.","Eh bien, Paul, le palabre est terminé."
"An ka taa !","Partons !"
"Tiɲɛ na, Jigi, sinankunya ye fɛn nafamaba ye !","Vraiment, Jigi, le « cousinage-de-plaisanterie » est une chose d’une très grande utilité !"
"O ye tiɲɛ ye, sinankunya ka di !","C’est vrai, le « cousinage-de-plaisanterie » est agréable "
"Mali bɛɛ kunkan : nin kumakan in bɛɛ kun bɛ Studio Tamani ka laseliw bɛɛ lajɛlen kɔnɔ.","«ça regarde tout le Mali» : la raison de tout ce slogan se retrouve dans toutes les émissions de Studio Tamani."
"A kun ye k'a jira k'a fɔ ( ko ) Studio Tamani a sirilen tɛ maa la a ka laseli kɔnɔna na.","L'objectif est de montrer que Studio Tamani n'est lié à personne pour ce qui est de ses émissions."
"O ka kunnafoni bɛ di jɛnɛya kan ani tilennenya kɔnɔna na.","Ses informations sont données en toute transparence et avec intégrité."
"Studio Tamani, bi, maa miliyɔn saba hakɛ ani maa ba kɛmɛ, olu de b'a lamɛn diɲɛ don o don.","Studio Tamani aujourd'hui, c'est trois million et cent mille personnes qui l'écoutent chaque jour,"
"A ka jɛmukanw na nansarakan na ani an ka kan naani na.","pour sa diffusion en français et dans nos quatre langues nationales."
"Studio Tamani sɛbɛnjɛkulu y'a jira k'a fɔ o de bɛ kɛ sababu ye ka kunnafoni di malidenw kelenkelenna bɛɛ lajɛlen ma.","La rédaction de Studio Tamani souligne que cela est fait pour informer tous les maliens et chacun d'eux."
"Mahamadu Ture :","Mamadou Touré :"
"An bɛ jamana kɔnɔ kirisi bɛ jamana min kɔnɔ kabini san caman,","Nous sommes dans un pays où il y a des crises depuis de nombreuses années."
"Wa bi bi in na bɛɛ lajɛlen sɔnnen don a ma ko, sigikafɔba, o nafa ka bon kosɛbɛ,","et aujourd'hui tout le monde est unanime sur une chose, le dialogue est très important"
"Walasa bɛn bɛ se ka sabati o ko la cogoya min na.","afin qu'ainsi prospère la concorde."
"O hukumu kɔnɔ Studio Tamani ale b'o baara kɛla diɲɛ don o don","C'est dans ce cadre que Studio Tamani continue de faire ce travail au jour le jour."
"A kɛra sifinw ye, musow, mɔgɔkɔrɔbaw ma, lujuratɔw, bɛɛ lajɛlen hakilila ka se ka mɛn,","Que ce soit les jeunes, les femmes, les personnes âgées, les personnes vivant avec un handicap, tout le monde doit pouvoir faire entendre son opinion, "
"Wa fana bɛɛ lajɛlen ka se ka nin ko in faamuya,","et tout le monde doit pouvoir comprendre de quoi il s'agit, "
"Studio Tamani ka baara bɛɛ boli o ko de kan.","c'est là-dessus que porte tout le travail de Studio Tamani."
"An bɛna kuma fɛn min kan, « festival » Ogobania b'o la","De quoi allons-nous parler, entre autres du festival Ogobagna."
"Wi Asetu","Wi Assétou"
"A ! sisan, Intala n fɛ la dɔɔnin, an bɛna « Reportage » labɛn, sira jumɛn na ?","Ah! Intala, je voudrais bien savoir sous quel angle on va préparer ce reportage."
"Ne hakili la an be se k'an sinsin... a bɛ se ka nafa min lase bɛn ni kelenya sabatili kan.","A mon avis on doit pouvoir s'appuyer... Qu'est-ce qu'il peut apporter à la cause de la concorde et de l'unité?"
