"french","bambara"
"parfum","kásadiyalan"
"puanteur","kásagoya"
"puanteur","kása.ko.ya"
"très sec","kásakasa"
"très rapide","kásakasa"
"fuite","kásakasa"
"course","kásakasa"
"très dur","kásaki"
"sec","kásaki"
"il a refusé tout sec !","à y'í bàn kásaki"
"entr'ouvert","kásaki"
"on voit bien ses dents !","à ɲí bɛ́ kɛ́nɛ kàn kásaki"
"méchant","kásan"
"féroce","kásan"
"de mauvais caractère","kásan"
"ce chien est méchant","nìn wùlu ká kásan"
"linceul","kásanke"
"envelopper d'un linceul","kásanke"
"déodorant","kásatigɛlan"
"violence et rapidité","kásawu"
"être dur","kásaya"
"tempêter","kásaya"
"engueuler qn","í kásaya  màa fɛ̀"
"pleurs","kàsi"
"cris","kàsi"
"pleurer","kàsi"
"crier","kàsi"
"sonner","kàsi"
"chanter","kàsi"
"le coq a chanté","dòno kàsira"
"fermenter","kàsi"
"triste","kàsibaatɔ"
"triste","kàsi.baga.tɔ"
"pleurnicheur","kàsibaatɔ"
"pleurnicheur","kàsi.baga.tɔ"
"non fermenté","kàsibali"
"qui ne pleure pas","kàsibali"
"cri","kàsikan"
"chant","kàsikan"
"pleurs","kàsikan"
"sanglot","kàsikuru"
"ferment","kàsilan"
"prison","kàso"
"prison","kàsobon"
"prisonnier","kàsoden"
"prisonnier","kàsolamɔgɔ"
"emprisonnement","kàsolabila"
"prisonnier","kàsoladen"
"prisonnier","kàsolamɔgɔ"
"emprisonnement","kàsoladon"
"incarcération","kàsoladonni"
"je n'ai rien fait qui mérite la prison","né má (kó) fóyi kɛ́ mín ká kán ní kàsoladonni yé (gn 40, 15)"
"prisonnier","kàsolamɔgɔ"
"prisonnier","kàsoden"
"khassonké","kàsonka"
"potasse","kàta"
"la potasse se fabrique à partir de la cendre","bùgurinjɛ bɛ́ kɛ́  kàta yé"
"être gris","kàta"
"affrontement","káta"
"dispute","káta"
"devenir gris","kàta-kàta"
"il est devenu blanc de crasse jusqu'à puer","à kàta-kàtara  fɔ́ kà kása bɔ́"
"caractère","káti"
"très fort","káti"
"amer","káti"
"énergiquement","káti"
"obstiné","kátigɛlɛn"
"poule de pharaon","kàtilaka"
"poule de pharaon","kàtlaka"
"outarde à.ventre noir","kàtilaka"
"outarde à.ventre noir","kàtlaka"
"petite hachette","kátilɛ"
"petite pioche","kátilɛ"
"tableau","kátimu"
"obstination","kátiya"
"parce que","kàtugu"
"parce que","kàtuguni"
"parce que","kàtugu lá"
"parce que","báwo"
"en effet","kàtugu"
"en effet","kàtuguni"
"en effet","kàtugu lá"
"en effet","báwo"
"parce que","kàtuguni"
"parce que","kàtugu lá"
"parce que","báwo"
"en effet","kàtuguni"
"en effet","kàtugu lá"
"en effet","báwo"
"café","kawa"
"produit psycho","kawa"
"octobre novembre","káwule"
"octobre novembre","káwula"
"octobre novembre","káwulɛ"
"bourses","kàya"
"bourses","kíli"
"bourses","dóro"
"bourses","kɛ̀yɛ"
"hernie inguino-scrotale","kàya"
"hernie inguino-scrotale","kíli"
"hernie inguino-scrotale","dóro"
"hernie inguino-scrotale","kɛ̀yɛ"
"orchite","kàyakilifunu"
"hydrocèle","kàyakilifunu"
"atteint d'hydrocèle","kàyatɔ"
"atteint d'orchite","kàyatɔ"
"cahier","kàye"
"cahier","káyeti"
"arbre Datura innoxia","káyikayijíri"
"entortiller","kàyin"
"entortiller","càanni"
"entortiller","kàyon"
"paix","káyira"
"paix","hɛ́rɛ"
"prospérité","káyira"
"prospérité","hɛ́rɛ"
"papier","káyiti"
"papier","káyite"
"papier","káyeti"
"cahier","káyiti"
"cahier","káyite"
"cahier","káyeti"
"tissu de pagne blanc","káyo"
"tissu de pagne blanc","kóyo"
"être inerte","kèesekaasa"
"ils ont battu le voleur et l'ont laissé à demi-mort","ù yé  sòn bùgɔ  k'à kèesekaasalen tó"
"malin","kègun"
"malin","kèkun"
"malin","kèwun"
"malin","kègu"
"malin","kèku"
"roublard","kègun"
"roublard","kèkun"
"roublard","kèwun"
"roublard","kègu"
"roublard","kèku"
"le francolin est plus malin que le lièvre","wɔ̀lɔ ká kègun ní  sònsan yé"
"malin","kègunman"
"roublard","kègunman"
"ruse","kèguya"
"ruse","kègun.ya"
"ruse","kèkun.ya"
"ruse","kèku.ya"
"roublardise","kèguya"
"roublardise","kègun.ya"
"roublardise","kèkun.ya"
"roublardise","kèku.ya"
"mieux vaut agir avec habileté que par la force","kèguya ká fìsa  fànga yé"
"[Context: dicton] si malin que soit un enfant, il a un anus","dénmisɛn kèguya ó kèguya, bòdingɛ b'á kɔ́"
"il les a tous roulés","à yé  kèguya mìnɛ  tɔ̀ lá"
"rendre malin","kèguya"
"rendre malin","kègun.ya"
"arête","kéke"
"éperon épineux","kéke"
"être envieux","kèle"
"être envieux","cèle"
"jaloux","kèle"
"jaloux","cèle"
"plaie","kèlebe"
"qui a une plaie","kèlebetɔ"
"couper autour","kèlekele"
"ne tenir qu'à.un fil","kèlekele"
"vaciller","kèleku"
"branler","kèleku"
"le malade branle la tête","bànabaatɔ b'í kùn kèleku"
"tituber","kèleku"
"ébranler","kèleku"
"danser","kèleku"
"un","kélen"
"unique","kélen"
"à l'écart","à kélen ná"
"le même jour","ò dón kélen"
"pas même un seul !","háli kélen !"
"l'un  ..., l'autre ...","kélen...kélen (dɔ́..."
"l'un d'entre eux","ù lá kélen"
"pareil","kélen"
"[Context: pareils] ils sont tous semblables","ù bɛ́ɛ yé kélen yé"
"unité","kélen"
"ou bien","kélen"
"[Context: ou bien.] ..., ou bien ...","(kélen...kélen..."
"déjà","kélèn"
"[Context: dicton] mieux vaut ""déjà!"" que ""trop tard!""","kélen ká fìsa  bìlen yé !"
"soliloque","kèlennakuma"
"esseulé","kèlennamɔgɔ"
"sans ami","kèlennamɔgɔ"
"unième","kélennan"
"vingt et unième","mùgan ní  kélennan"
"solitude","kélennato"
"exclusion","kélennato"
"unité","kélenya"
"union","kélenya"
"si je suis parmi vous aujourd'hui, ce n'est pas pour qc de grave, c'est parce que nous sommes des frères, une même communauté","né bɛ́  á cɛ́ lá yàn bì, júguman tɛ́, bádenyasira dòn, kélenyasira dòn"
"isolement","kélenya"
"singulier","kélenya"
"laisser seul","kélenya"
"on m'a laissé seul","ń kélenyana"
"jalousie","kèleya"
"jalousie","cèle.ya"
"jalouser","kèleya"
"jalouser","cèle.ya"
"jaloux","kèleyabaatɔ"
"jaloux","kèle.ya.baga.tɔ"
"jaloux","cèle.ya.baa.tɔ"
"sorgho","kènde"
"sorgho","nkène"
"rusé","kèngeli"
"malin","kèngeli"
"rendre malin","kèngeliya"
"rendre malin","kèguya"
"il est malin comme un francolin","à kèngeliyalen í ń'á fɔ́ : wɔ̀lɔ"
"sorgho","kénìnge"
"sorgho","kérìnge"
"oreillons","kènkenkɔ̀gɔyɔ"
"clitoris","kére"
"escargot","kérekete"
"escargot","kélekele"
"clitoris","kérekisɛ"
"lancer","kèrun"
"lancer","kèlun"
"frapper en lançant","kèrun"
"frapper en lançant","kèlun"
"faire tomber les mangues en lançant un bâton","mángoro kèrun ní  bére yé"
"gésier","késekèle"
"gésier","ncɛ̀gɛn"
"clitoris","késekèle"
"clitoris","ncɛ̀gɛn"
"frémir","kètekete"
"faire éclater la joie","kètekete"
"faire des soubresauts","kètekete"
"rire sec","kétekete"
"coqueluche","kèteketenin"
"certes","kɛ̀"
"mâle","kɛ̀"
"action","kɛ́"
"dire et faire, ce n'est pas pareil","fɔ́ ní  kɛ́ tɛ́  kélen yé"
"faire","kɛ́"
"faire","k'"
"avoir lieu","kɛ́"
"avoir lieu","k'"
"travaille un peu","í kà  dɔ́ kɛ́"
"manger","dúmuni kɛ́"
"faire la cuisine","tóbili kɛ́"
"que se passe-t-il ?","mùn kɛ́ra ?"
"cela fait, ...","ò kɛ́len..."
"ça s'est passé sous mes yeux","ò mána kɛ́..."
"que s'est-il passé ?","ò máa kɛ́...\xv ní  ò kɛ́ra...\xe quand cela a eu lieu ..."
"ne pensez pas que ...","ò kɛ́ra  né ɲɛ́ ná"
"qu'ils disent leur avis","à kɛ́ra dì ?"
"faire qc de bien en faveur de qn","à kàna kɛ́  á ɲɛ́ ná kó..."
"je n'oublierai jamais ce que tu as fait pour moi","mín mána kɛ́  ù fɛ̀, ù k'ò fɔ́"
"faire qc de mal à l'égard de qn","kɛ́...yé"
"je n'oublierai pas la crasse que tu m'as faite","í yé  mín kɛ́  né yé, ò tɛ́na bɔ́ ń kɔ́nɔ ábada"
"mettre","kɛ́"
"mettre","k'"
"mettre, verser de l'eau dans le canari","jí kɛ́  dàga lá / kɔ́nɔ"
"ils le soignent","ù b'á fúrakɛ"
"il a mis un peu de poudre de tabac dans sa bouche","à yé  síramugu dɔ́ɔnin kɛ́  à dá"
"utiliser, se servir de ...","...kɛ́ kà..."
"utiliser le poing pour ...","bólokuru kɛ́ kà..."
"ils offrent une poule au fétiche","ù bɛ́  syɛ̀ kɛ́  kà bási sɔ́n"
"ils se sont mis à hurler","ù y'á kɛ́  kúlo yé"
"passer","kɛ́"
"passer","k'"
"ils ont passé deux mois là-bas","ù yé  kálo fìla kɛ́ yèn"
"devenir","kɛ́"
"devenir","k'"
"il est devenu riche, puissant","à kɛ́ra  fàama yé"
"fais-en ton ami","à kɛ́  í téri yé"
"ils se sont mis à hurler","ù y'á kɛ́  kúlo yé"
"faire semblant d'être fou","í yɛ̀rɛ kɛ́  fàtɔ yé"
"fréquenter","kɛ́"
"fréquenter","k'"
"quand on aime les gens ...","ń'í kɛ́ra  mɔ̀gɔ fɛ̀..."
"elle a fréquenté les jeunes gens, elle n'a pas attendu son mari","à kɛ́ra  kámalennin fɛ̀, à má  à fúrucɛ màkɔnɔ"
"c'est vrai, c'était vrai se dira à l'accompli : ò kɛra  tìɲɛ ye","ò yé  tìɲɛ yé"
"ce fut vrai au futur : ò nà kɛ  tìɲɛ ye","ò tùn yé tìɲɛ yé"
"ce sera vrai à l'éventuel : n'o kɛra  tìɲɛ ye","ò mána kɛ́  tìɲɛ yé..."
"non fait","kɛ́bali"
"infaisable","kɛ́bali"
"omission","kɛ́baliya"
"fonction","kɛ́ci"
"fonction","cí"
"mission","kɛ́ci"
"mission","cí"
"le vol n'est pas une oeuvre d'honnête homme","màasɛbɛ kɛ́ci tɛ́  sònyali yé"
"manière de faire","kɛ́cogo"
"manière de faire","cógo"
"recette","kɛ́cogo"
"recette","cógo"
"tuteur","kɛ̀ɛ́"
"tuteur","kɔ́kɔrɔ"
"tuteur","tɛ̀ɛ́n"
"mets-lui un tuteur","í kà  kɛ̀ɛ dòn  à kɔ́rɔ"
"pince","kɛ̀ɛnkɛ"
"pince","ŋɔ́nibɔlan"
"marcher lentement","kɛ̀ɛsɛkɛɛsɛ"
"marcher lentement","kɛ̀sɛkɛsɛ"
"poisson Distichodus brevipennis","kɛ̀ɛya"
"poisson Distichodus brevipennis","gàliya"
"poisson Distichodus brevipennis","jíŋɛɲɛ"
"poisson Distichodus brevipennis","bínɲimi"
"façon","kɛ́ko"
"raison","kɛ́ko"
"raison","kɛ́kun"
"contenant","kɛ́lan"
"contenant","kɛ́minɛn"
"contenant","kɛ́minan"
"condiment","kɛ́lan"
"condiment","kɛ́minɛn"
"condiment","kɛ́minan"
"querelle","kɛ̀lɛ"
"bataille","kɛ̀lɛ"
"guerre","kɛ̀lɛ"
"armée","kɛ̀lɛ"
"se quereller, faire la guerre","kɛ̀lɛ tìgɛ"
"combattre","kɛ̀lɛ"
"attaquer","kɛ̀lɛ"
"poisson Chrysichtys","kɛ́lɛ"
"combattant","kɛ̀lɛbaa"
"combattant","kɛ̀lɛ.baga"
"kinkeliba","kɛ̀lɛbɛbilen"
"kinkeliba","nkɔ̀lɔbɛ"
"kinkeliba","kɔ̀lɔbɛ"
"kinkeliba","kwɛ̀lɛbɛ.bilen"
"kinkeliba","kɛ̀lɛbɛ.blen"
"kinkeliba","kwɛ̀lɛbɛ.blen"
"poisson Chrysicthys auratus","kɛ́lɛbilen"
"colonne de militaires","kɛ̀lɛbolo"
"soldat","kɛ̀lɛcɛ"
"militaire","kɛ̀lɛcɛ"
"champ de bataille","kɛ̀lɛda"
"campement de base","kɛ̀lɛdaga"
"soldat","kɛ̀lɛden"
"soldat","kɛ̀lɛkɛcɛ"
"soldat","kɛ̀lɛcɛ"
"militaire","kɛ̀lɛden"
"militaire","kɛ̀lɛkɛcɛ"
"militaire","kɛ̀lɛcɛ"
"bagarreur","kɛ̀lɛjeli"
"poisson Chrysichtys nigrodigitatus","kɛ́lɛjɛ"
"soldat","kɛ̀lɛkɛcɛ"
"soldat","kɛ̀lɛcɛ"
"soldat","kɛ̀lɛden"
"militaire","kɛ̀lɛkɛcɛ"
"militaire","kɛ̀lɛcɛ"
"militaire","kɛ̀lɛden"
"soldat","kɛ̀lɛkɛden"
"militaire","kɛ̀lɛkɛden"
"querelleur","kɛ̀lɛkɛla"
"adversaire","kɛ̀lɛkɛla"
"arme","kɛ̀lɛkɛlan"
"arme","kɛ̀lɛminɛn"
"arme","kɛ̀lɛkɛminɛn"
"piment","kɛ́lɛkɛlɛ"
"piment","fòronto"
"très fort","kɛ́lɛkɛlɛ"
"excitant","kɛ́lɛkɛlɛ"
"adversaire","kɛ̀lɛkɛɲɔgɔn"
"adversaire","kɛ̀lɛɲɔgɔn"
"char de guerre","kɛ̀lɛkɛwotoro"
"chef de guerre","kɛ̀lɛkuntigi"
"évacuation","kɛ̀lɛmaboli"
"désertion","kɛ̀lɛmaboli"
"fuyard","kɛ̀lɛmabolila"
"évacué","kɛ̀lɛmabolila"
"déserteur","kɛ̀lɛmabolila"
"chef de guerre","kɛ̀lɛmasa"
"héros de la guerre","kɛ̀lɛmasa"
"arme","kɛ̀lɛminɛn"
"arme","kɛ̀lɛkɛlan"
"arme","kɛ̀lɛkɛminɛn"
"arrêt brusque","kɛ́lɛnwu"
"bruit de casse","kɛ́lɛnwu"
"bruit de casse","kɛ́wu"
"adversaire","kɛ̀lɛɲɔgɔn"
"adversaire","kɛ̀lɛkɛɲɔgɔn"
"soldat d'élite","kɛ̀lɛŋana"
"provocateur","kɛ̀lɛtigɛla"
"querelleur","kɛ̀lɛtigɛla"
"butin de guerre","kɛ̀lɛtɔnɔ"
"action","kɛ́li"
"cent","kɛ̀mɛ"
"quatre-vingt","kɛ̀mɛ"
"le ""kɛmɛ"" des bambara","bámana-ná-kɛ̀mɛ"
"cinq cents francs","kɛ̀mɛ"
"centième","kɛ̀mɛnan"
"pourcentage","kɛ̀mɛsarada"
"[Context: kb 10/04 p 1] [Context: détruits par les sauterelles] en pourcentage, 40% des champs  sont des champs de mil","kɛ̀mɛsarada lá, fòro 40 yé ɲɔ̀foro yé..."
"ciseaux","kɛ́mɛsu"
"récipient","kɛ́minɛn"
"récipient","kɛ́lan"
"récipient","kɛ́.mina"
"graisse","kɛ́n"
"graisse","kɛ́"
"profit","kɛ́n"
"profit","kɛ́"
"les flatteries sont onctueuses, mais sans profit","úsalahakuma, à tɔ̀lɔlen, nká, kɛ́n t'á lá"
"avoir de la graisse","kɛ́n"
"avoir de la graisse","tɔ̀lɔ"
"avoir de la graisse","kɛ́"
"pubis","kɛ̀nɛ"
"pubis","nàakɔrɔla"
"pubis","kɛ̀ɲɛ"
"clarté","kɛ́nɛ"
"lumière du jour","kɛ́nɛ"
"dehors","kɛ́nɛ mà"
"en public, ouvertement","kɛ́nɛ kàn"
"il fait jour","kɛ́nɛ bɔ́ra"
"ça devient clair pour toi","kɛ́nɛ tìgɛlen"
"surface","kɛ́nɛ"
"je dégage un endroit pour battre le mil","ń bɛ́  kɛ́nɛ dábɔ  kà ɲɔ̀ gɔ̀si  ò lá"
"s'enfuir, prendre le large","kɛ́nɛ mìnɛ"
"la superficie de la place publique est grande","fɛ̀rɛ kɛ́nɛ ká bòn"
"il a eu raison contre tous, il les a époustouflé","à yé  kɛ́nɛ káraba"
"sain","kɛ́nɛ"
"en bonne santé","kɛ́nɛ"
"en pleine forme","kɛ́nɛ"
"il est malade","à mán kɛ́nɛ"
"tu vas bien","í ká kɛ́nɛ ?"
"frais","kɛ́nɛ"
"ses traces sont toutes fraîches","à nɔ̀ kɛ́nɛ-kɛ́nɛ dòn"
"vert","kɛ́nɛ"
"cru","kɛ́nɛ"
"il grignote des arachides crues","à bɛ́  tìga kɛ́nɛ ɲími"
"plaine","kɛ́nɛba"
"plateau","kɛ́nɛba"
"personne bien portante","kɛ́nɛbaatɔ"
"personne bien portante","kɛ́nɛ.baga.tɔ"
"aube","kɛ́nɛbɔnda"
"aube","kɛ́nɛtigɛda"
"aube","kɛ́nɛjɛnda"
"clairière","kɛ́nɛjɛ"
"en public","kɛ́nɛjɛ"
"ça s'est passé devant tout le monde","ò kɛ́ra  kɛ́nɛjɛ kàn"
"aurore","kɛ́nɛjɛnda"
"aurore","kɛ́nɛbɔnda"
"manifeste","kɛ́nɛkanda"
"public","kɛ́nɛkanda"
"affaire publique","kɛ́nɛkanda"
"objet visible","kɛ́nɛkanda"
"qui fait des actions extraordinaires","kɛ́nɛkaraba"
"sain","kɛ́nɛman"
"bon","kɛ́nɛman"
"endroit public","kɛ́nɛmana"
"extérieur","kɛ́nɛmana"
"sol","kɛ́nɛmana"
"santé","kɛ́nɛmanya"
"que Dieu nous accorde longue vie et santé !","Ála kà  sìmaya ní  kɛ́nɛmanya k'án yé ! :"
"point du jour","kɛ́nɛminikimanaka"
"point du jour","kɛ́nɛmilikimalaka"
"poils du pubis","kɛ̀nɛsi"
"poils du pubis","kɛ̀ɲɛ.si"
"point du jour","kɛ́nɛtigɛnda"
"pénil","kɛ̀nɛtintin"
"pénil","kɛ̀ɲɛtintiri"
"pénil","kɛ̀ɲɛ.tintin"
"pénil","kɛ̀nɛtintiri"
"pénil","kɛ̀ɲɛ.tintiri"
"clairière en brousse","kɛ́nɛwalawala"
"bonne santé","kɛ́nɛya"
"pleine forme","kɛ́nɛya"
"bonne qualité","kɛ́nɛya"
"guérir","kɛ́nɛya"
"incurable","kɛ́nɛyabali"
"ma blessure est incurable /","Né ká jólida yé kɛ́nɛyabali yé! /"
"[Context: 2 Ch 21, 18] Le Seigneur frappa encore Joram d'une maladie intestinale incurable","Mátigi Ála yé kɔ́nɔdimijuguba kɛ́nɛyabali bìla à lá"
"péritoine","kɛ́nfini"
"kinkeliba","kɛ̀nkàlibá"
"triangle musicale","kɛ́nkɛn"
"poison","kɛ́nkɔnɔ"
"poison","dònnkɔnɔ"
"égaliser","kɛ́nyɛ"
"faire coïncider","kɛ́nyɛ"
"tu es arrivé juste à temps, à point nommé","í kɛ́nyɛna ní  à túma yé"
"équilibrer la charge sur le dos de l'âne","kà dòni kɛ́nyɛ  fàli kɔ́ rɔ́"
"il a souhaité la mort","à yé  sàya kɛ́nyɛ ń'á yé"
"ne mets pas sur le même plan le bon et le méchant","í kàna  mɔ̀gɔjugu ní  mɔ̀gɔ tílennen kɛ́nyɛ"
"signe de l'égalisation","kɛ́nyɛlan"
"vilain","kɛ́nyɛrɛla"
"[Context: prov] le comble de l' ""égoïsme"" est de péter au fond d'un puits","kɛ́nyɛrɛla dàn yé  kɔ̀lɔnkɔnɔboci yé"
"entrepreneur","kɛ́nyɛrɛye"
"secteur privé","kɛ́nyɛrɛye"
"cire","kɛ̀ɲɛ"
"sable","kɛ̀ɲɛ"
"sable","cɛ̀n"
"sable","cɛ̀ncɛn"
"empêcher","kɛ́ɲɛ"
"empêcher","bàli"
"empêcher","dɛ́sɛ"
"rien n'est impossible à Dieu","fóyi tɛ́  Ála kɛ́ɲɛ"
"être incapable de","kɛ́ɲɛ"
"être incapable de","bàli"
"être incapable de","dɛ́sɛ"
"ils ont échoué complètement","ù kɛ́ɲɛna  có !"
"échec","kɛ́ɲɛ"
"nord","kɛ̀ɲɛka"
"bougie","kɛ̀ɲɛkalama"
"indomptable","kɛ́ɲɛkɛ"
"incorrigible","kɛ́ɲɛkɛ"
"délinquant","kɛ́ɲɛkɛden"
"délinquance","kɛ́ɲɛkɛya"
"insoumission","kɛ́ɲɛkɛya"
"platane","kɛ̀ɲɛkòro"
"platane","kúngonsiranin"
"compagnon","kɛ́ɲɔgɔn"
"compagnon","kùnkɛɲɔgɔn"
"compagnon","tɔ̀ɲɔgɔn"
"compagnon","kɛ́ɲɔgɔnkɛ"
"camarade","kɛ́ɲɔgɔnkɛ"
"compagne","kɛ́ɲɔgɔnmuso"
"camarade","kɛ́ɲɔgɔnmuso"
"même classe d'âge","kɛ́ɲɔgɔnya"
"même classe d'âge","fílanya"
"côté","kɛ̀rɛ"
"flanc","kɛ̀rɛ"
"il a mal au côté","à kɛ̀rɛ b'á dími"
"il a un balai près de lui","fúralan b'á kɛ̀rɛ fɛ̀"
"ils sont côte à côte","ù bɛ́  ɲɔ́gɔn kɛ̀rɛ fɛ̀"
"ils se moquaient de lui en aparté","ù tùn bɛ́  kà yɛ́lɛ bɔ́  à mà  kɛ̀rɛ fɛ̀"
"absolument","kɛ́rɛbɛtɛ"
"absolument","jànkó"
"parfaitement","kɛ́rɛbɛtɛ"
"parfaitement","jànkó"
"c'est parfaitement exact","ò bɛ́ kɛ́rɛbɛtɛ !"
"a fortiori","kɛ́rɛbɛtɛ"
"a fortiori","jànkó"
"Nci ne travaille pas, Nsan encore moins","Ncì tɛ́  báara kɛ́, Nsàn kɛ́rɛbɛtɛ"
"ce que les gens instruits n'ont pu réaliser, a fortiori les ignorants","mɔ̀gɔ kàlannen dɛ́sɛra  kà mín kɛ́, kàlanbali kɛ́rɛbɛtɛ"
"pierre à.fusil","kɛ̀rɛbɔ"
"pierre à.fusil","kɛ̀rɛbo"
"silex","kɛ̀rɛbɔkaba"
"silex","kɛ̀rɛbɔfara"
"poisson Hemichromis fasciatus","kɛ̀rɛbùga"
"poisson Hemichromis fasciatus","tàabuga"
"poisson Hemichromis fasciatus","sògoforo"
"poisson Hemichromis bimaculatus","kɛ̀rɛbùga"
"poisson Hemichromis bimaculatus","tàabuga"
"poisson Hemichromis bimaculatus","sògoforo"
"point de côté","kɛ̀rɛdimi"
"par côté","kɛ̀rɛfɛ̀"
"chuchotement","kɛ̀rɛfɛkuma"
"alentours","kɛ̀rɛfɛla"
"pourtour","kɛ̀rɛfɛla"
"personne qui est à.côté","kɛ̀rɛfɛmɔgɔ"
"personne qui reste à.l'écart","kɛ̀rɛfɛmɔgɔ"
"exclusion","kɛ̀rɛfɛmɔgɔya"
"mise à.l'écart","kɛ̀rɛfɛmɔgɔya"
"voisin","kɛ̀rɛfɛsigi"
"conseiller","kɛ̀rɛfɛsigi"
"bancal","kɛ̀rɛkelenjɛngɛn"
"boiteux","kɛ̀rɛkelenjɛngɛn"
"critiquer","kɛ̀rɛmatìgɛ"
"critiquer","kɔ́rɔmatigɛ"
"attaquer indirectement","kɛ̀rɛmatìgɛ"
"attaquer indirectement","kɔ́rɔmatigɛ"
"prendre son élan","kɛ̀rɛmu"
"vanner","kɛ̀rɛmu"
"vanner","kɛ̀rɛmɛ"
"danser en se balançant","kɛ̀rɛmu"
"danser en se balançant","kɛ̀rɛmɛ"
"abords","kɛ̀rɛnkɛrɛn"
"proximité","kɛ̀rɛnkɛrɛn"
"sur le bord, à proximité","kɛ̀rɛnkɛrɛn fɛ̀"
"mettre de côté","kɛ́rɛnkɛrɛn"
"je vais m'efforcer de garder soigneusement cet argent","ń bɛ́ ń bólo kɛ́rɛnkɛrɛn  nìn wári kàn"
"se garder","kɛ́rɛnkɛrɛn"
"particularisme","kɛ́rɛnkɛrɛnnenya"
"en particulier ..., spécialement ...","kɛ́rɛnkɛrɛnnenya lá"
"honnêteté","kɛ́rɛnkɛrɛnnenya"
"triangle","kɛ̀rɛsàba"
"s'engager","kɛ́rɛtɛkɛrɛtɛ"
"manigancer","kɛ́rɛtɛkɛrɛtɛ"
"sec","kɛ́sɛkɛsɛ"
"caisse","kɛ́su"
"à.faire","kɛ́ta"
"il a fait ce qu'il fallait faire","à yé  kó kɛ́ta kɛ́"
"faisable","kɛ́ta"
"fait","kɛ́ta"
"l'enfant oberve tout ce que fait sa maman","dén b'í ɲɛ́mada  à bá ká kɛ́ta fɛ̀ (mà)"
"plat de riz","kɛ́talakini"
"escargot","kɛ̀tɛ"
"escargot","kwɛ̀tɛ"
"escargot","kɔ̀tɛ"
"coquille d'escargot","kɛ̀tɛ"
"coquille d'escargot","kwɛ̀tɛ"
"coquille d'escargot","kɔ̀tɛ"
"acte","kɛ́wale"
"acte","wále"
"fonction","kɛ́wale"
"fonction","wále"
"on ne se nourrit pas de la chair des gens, mais de leurs oeuvres","màa sògo tɛ́ dún, í kɛ́wale dè bɛ́ dún"
"atteint d'hydrocèle","kɛ̀yɛtɔ"
"atteint d'hydrocèle","kàya.tɔ"
"qui a les bourses énormes","kɛ̀yɛtɔ"
"qui a les bourses énormes","kàya.tɔ"
"oiseau moqueur","kíbaro"
"qui annonce les nouvelles","kìbarolasela"
"nouvelle","kìbaroya"
"il a appris la nouvelle hier","à y'á kìbaroya mɛ́ kúnu"
"nouvelle","kìbaru"
"nouvelle","kìbaro"
"Kibaru","kìbaru"
"Kibaru","kìbaro"
"estimer","kíimɛ"
"lentement","kíisikaasa"
"de façon ondoyante","kíisikaasa"
"oeuf","kíli"
"oeuf","fán"
"pondre","kíli dá"
"couver","kíli tɔ́rɔ"
"boule","kíli"
"boule","fán"
"testicule","kíli"
"testicule","fán"
"bosquet sacré","kíli"
"bosquet sacré","tú"
"bois sacré du ""kɔmɔ""","kɔ̀mɔkili"
"appeler","kíli"
"allez dire à un tel de venir","á' yé  kàrisa kíli  kà nà yàn"
"bourses","kílibara"
"cloaque des oiseaux","kílidabodingɛ"
"ovipare","kílidala"
"ovipare","fándala"
"pondeuse","kílidala"
"pondeuse","fándala"
"à.l'âge de pondre","kílidalama"
"à.l'âge de pondre","fándalama"
"testicule","kíliden"
"câprier d'Afrique","kílifara"
"câprier d'Afrique","jàtabali"
"costaud","kílifin"
"bourses","kíliforoko"
"bourses","kílibara"
"drinn-drinn","kílinkalan"
"drinn-drinn","klínklan"
"oeufs en formation","kíliɲɔrɔn"
"oeufs en formation","kíliɲɔrɔnkɔ"
"testicules","kíliɲɔrɔn"
"testicules","kíliɲɔrɔnkɔ"
"formule magique","kílisi"
"formule magique","kírisi"
"formule magique","kíisi"
"le remède a plus de chances d'être efficace que la formule magique","fúra ká sùrun kà kɛ́  tìɲɛ yé  kà tɛ̀mɛ  kílisi kàn"
"prononcer incantation","kílisi"
"prononcer incantation","kírisi"
"paroles magiques","kílisikan"
"kilomètre","kílo"
"kilogramme","kílo"
"kilo","kílo"
"kilomètre","kílomɛtɛrɛ"
"quartier","kìn"
"il y a trois quartiers à Falajɛ","Fàlajɛ kìn yé  sàba yé"
"s'agenouiller","kínbirisin"
"quartier","kìnda"
"arbre Andira inermis","kìnedo"
"arbre Andira inermis","kìndo"
"riz cuit","kíni"
"droite","kíni"
"droite","kínin"
"main droite","kíni"
"main droite","kínin"
"main droite","kínibolo"
"la main droite n'y touche pas, mais la gauche","kínibolo tɛ́ màga  à lá, númabolo kɔ́"
"la droite","kínifɛla"
"la droite","kíniyanfan"
"en beaucoup d'endroits, la porte de la case s'ouvre du côté droit","yɔ́rɔ cáman bón dá dè bɛ́ yɛ̀lɛ  í kínifɛla fɛ̀"
"pitié","kínikini"
"droitier","kínima"
"le côté.droit","kíniyanfan"
"chef de quartier","kìntigi"
"prophète","kíra"
"[Context: l'amour de] pour  Dieu et du prophète","Ála káma, kíra káma"
"état de prophète","kíraya"
"mission de phophète","kíraya"
"prophétie","kíraya"
"jugement","kíri"
"jugement","kíiri"
"jugement","kíti"
"procès","kíri"
"procès","kíiri"
"procès","kíti"
